Rows,"Insert time, ms","Select time, ms","Index size, MiB"
200k,360,16,6
400k,326,2,12
600k,342,2,18
800k,350,2,24
1000k,344,2,30
1200k,343,2,36
1400k,344,2,42
1600k,338,2,48
1800k,346,2,54
2000k,364,2,60
2200k,354,2,66
2400k,479,2,72
2600k,359,2,78
2800k,371,4,84
3000k,372,2,90
3200k,388,3,96
3400k,366,2,102
3600k,354,2,108
3800k,375,2,114
4000k,488,2,120
4200k,358,2,126
4400k,347,2,132
4600k,374,2,138
4800k,421,2,144
5000k,363,2,150
5200k,361,2,156
5400k,383,2,162
5600k,457,4,168
5800k,389,2,174
6000k,422,3,181
6200k,377,2,187
6400k,379,3,193
6600k,395,2,199
6800k,387,3,205
7000k,334,4,211
7200k,358,2,217
7400k,362,3,223
7600k,350,2,229
7800k,351,2,235
8000k,367,2,241
8200k,520,3,247
8400k,444,2,253
8600k,552,2,259
8800k,560,2,265
9000k,398,2,271
9200k,381,2,277
9400k,369,2,283
9600k,403,2,289
9800k,511,2,295
10000k,384,2,301
10200k,374,4,307
10400k,376,3,313
10600k,421,2,319
10800k,395,3,325
11000k,380,2,331
11200k,404,2,337
11400k,380,2,343
11600k,484,3,349
11800k,373,2,355
12000k,374,2,361
12200k,361,3,367
12400k,487,3,373
12600k,397,3,379
12800k,377,2,385
13000k,391,2,391
13200k,390,2,397
13400k,513,3,403
13600k,477,3,409
13800k,365,2,415
14000k,392,2,421
14200k,399,3,427
14400k,362,2,433
14600k,371,2,439
14800k,380,4,445
15000k,382,2,451
15200k,428,3,457
15400k,404,3,463
15600k,385,3,469
15800k,410,3,475
16000k,393,2,481
16200k,370,2,487
16400k,387,4,493
16600k,379,2,499
16800k,518,3,505
17000k,375,2,511
17200k,366,2,517
17400k,432,3,523
17600k,422,2,529
17800k,382,2,535
18000k,391,3,541
18200k,385,2,547
18400k,409,3,554
18600k,371,2,560
18800k,390,2,566
19000k,391,2,572
19200k,553,3,578
19400k,374,2,584
19600k,385,2,590
19800k,377,2,596
20000k,427,3,602
