Rows,"Insert time, ms","Select time, ms","Index size, MiB"
200k,394,23,6
400k,371,2,12
600k,381,3,18
800k,413,2,24
1000k,401,2,30
1200k,370,4,36
1400k,380,3,42
1600k,484,4,48
1800k,376,2,54
2000k,389,3,60
2200k,449,2,66
2400k,382,2,72
2600k,362,2,78
2800k,359,2,84
3000k,376,4,90
3200k,383,2,96
3400k,370,4,102
3600k,398,2,108
3800k,361,2,114
4000k,437,2,120
4200k,383,4,126
4400k,390,2,132
4600k,364,2,138
4800k,389,2,144
5000k,387,2,150
5200k,457,2,156
5400k,364,2,162
5600k,374,3,168
5800k,465,3,174
6000k,366,3,181
6200k,356,2,187
6400k,371,2,193
6600k,366,2,199
6800k,387,4,205
7000k,365,2,211
7200k,355,2,217
7400k,483,2,223
7600k,367,7,229
7800k,406,3,235
8000k,375,2,241
8200k,380,2,247
8400k,360,2,253
8600k,359,2,259
8800k,361,2,265
9000k,368,3,271
9200k,377,2,277
9400k,351,2,283
9600k,361,2,289
9800k,463,2,295
10000k,378,2,301
10200k,385,2,307
10400k,418,2,313
10600k,347,2,319
10800k,362,2,325
11000k,369,2,331
11200k,352,2,337
11400k,389,2,343
11600k,378,2,349
11800k,395,2,355
12000k,475,2,361
12200k,377,2,367
12400k,373,3,373
12600k,403,2,379
12800k,357,2,385
13000k,361,2,391
13200k,370,2,397
13400k,471,5,403
13600k,381,2,409
13800k,376,4,415
14000k,431,2,421
14200k,377,3,427
14400k,376,4,433
14600k,360,2,439
14800k,375,3,445
15000k,366,2,451
15200k,405,5,457
15400k,381,3,463
15600k,406,2,469
15800k,405,4,475
16000k,392,2,481
16200k,352,2,487
16400k,376,2,493
16600k,385,3,499
16800k,404,2,505
17000k,369,2,511
17200k,377,2,517
17400k,461,2,523
17600k,574,2,534
17800k,589,2,545
18000k,576,2,556
18200k,633,2,567
18400k,573,4,578
18600k,668,2,589
18800k,601,2,599
19000k,550,2,610
19200k,559,2,621
19400k,553,2,632
19600k,543,4,643
19800k,567,3,654
20000k,545,3,664
